"phecode"	"case_count"	"prev"	"w"
"134.1"	29	0.00133634394728354	2.87408174905904
"136"	454	0.0209206948988526	1.67942389410089
"145"	588	0.0270955255518179	1.56710242088186
"145.1"	18	0.00082945486383116	3.08120724185469
"145.2"	310	0.0142850559882033	1.84511805312372
"145.3"	105	0.00483848670568177	2.31529044788806
"145.4"	77	0.00354822358416663	2.44998902178551
"145.5"	98	0.00451592092530298	2.3452536712655
"149"	1056	0.048661352011428	1.3128158287602
"149.1"	328	0.0151145108520345	1.82060590324632
"149.2"	110	0.00506889083452375	2.29508706179977
"149.3"	72	0.00331781945532464	2.47914725052673
"149.4"	867	0.0399520759412009	1.39846064948179
"149.5"	432	0.0199069167319478	1.70099600014308
"149.9"	158	0.00728077047140685	2.13782266000357
"150"	294	0.0135477627759089	1.86813241654584
"151"	305	0.0140546518593613	1.85217990761121
"153"	1134	0.0522556564213631	1.28186669240111
"153.2"	975	0.0449288051241878	1.34747513125946
"153.3"	576	0.0265425556425971	1.57605726353478
"155"	312	0.0143772176397401	1.84232515293955
"155.1"	243	0.0111976406617207	1.95087347335968
"157"	251	0.0115662872678678	1.93680602547696
"158"	443	0.0204138058154002	1.69007602073493
"159"	616	0.028385788673333	1.54689903479357
"159.2"	142	0.00654347725911248	2.18419140257494
"159.3"	93	0.00428551679646099	2.36799679840406
"159.4"	123	0.00566794156951293	2.2465746355186
"164"	105	0.00483848670568177	2.31529044788806
"165"	1357	0.0625316805677158	1.20389989929826
"165.1"	1304	0.0600893968019907	1.22120215556209
"170"	821	0.0378323579558546	1.42213658983856
"170.1"	445	0.020505967466937	1.68811973597706
"170.2"	513	0.0236394636191881	1.62636238184618
"172"	3341	0.153956038892217	0.812603271319865
"172.1"	1132	0.0521634947698263	1.28263332010574
"172.11"	851	0.0392147827289065	1.40655018687341
"172.2"	2751	0.126768351688862	0.896989156568313
"172.21"	512	0.0235933827934197	1.62720978598217
"172.22"	405	0.0186627344362011	1.72902472374333
"172.3"	391	0.0180176028754435	1.74430298956213
"173"	3317	0.152850099073775	0.815734275438514
"174"	1725	0.0794894244504862	1.0996906475487
"174.1"	1632	0.0752039076540252	1.12375959254015
"174.11"	1612	0.0742822911386572	1.12911470948892
"174.2"	85	0.00391687019031381	2.4070608212437
"174.3"	182	0.00838671028984839	2.07640835897292
"175"	464	0.0213815031565366	1.66996176640312
"180"	622	0.0286622736279434	1.54268936226718
"180.1"	249	0.011474125616331	1.94028039986226
"180.3"	409	0.0188470577392747	1.72475643895065
"182"	342	0.015759642412792	1.80245364090186
"184"	578	0.0266347172941339	1.57455190853747
"184.1"	453	0.0208746140730842	1.68038154494516
"184.11"	322	0.0148380258974241	1.82862387526217
"184.2"	195	0.00898576102483756	2.04644513559548
"185"	1417	0.0652965301138196	1.18510989671054
"187"	186	0.00857103359292198	2.06696680274008
"187.1"	47	0.00216579881111469	2.66438188902228
"187.2"	103	0.00474632505414497	2.32364252225282
"187.8"	37	0.00170499055343072	2.768278022891
"189"	1214	0.0559421224828349	1.25226106021876
"189.1"	720	0.0331781945532464	1.47914725052673
"189.11"	626	0.028846596931017	1.53990541374757
"189.12"	161	0.00741901294871204	2.12965387092615
"189.2"	574	0.0264503939910603	1.57756785456002
"189.21"	555	0.0255748583014608	1.59218676383532
"189.4"	289	0.013317358647067	1.87558190420145
"190"	137	0.00631307313027049	2.19975917980159
"191"	874	0.0402746417215797	1.39496831432359
"191.1"	703	0.0323948205151836	1.48952442193817
"191.11"	608	0.0280171420671858	1.55257616768526
"193"	510	0.0235012211418829	1.62890957086006
"194"	112	0.00516105248606055	2.28726172428781
"195"	2175	0.100225796046265	0.99902048566734
"195.1"	1561	0.0719321690244689	1.14307684389558
"196"	923	0.0425326021842311	1.37127804593208
"197"	2421	0.111561679185291	0.952484957516263
"198"	3320	0.152988341551081	0.81534166325396
"198.1"	1910	0.0880143772176397	1.05544637971027
"198.2"	1221	0.0562646882632137	1.24976408301311
"198.3"	618	0.0284779503248698	1.54549127186918
"198.4"	822	0.037878438781623	1.42160792941795
"198.5"	593	0.0273259296806599	1.56342505359373
"198.6"	865	0.0398599142896641	1.39946363949318
"198.7"	337	0.01552923828395	1.80884984608666
"199"	2777	0.127966453158841	0.892903867207739
"199.4"	28	0.00129026312151514	2.88932171561578
"200"	228	0.0105064282751947	1.97854489995754
"200.1"	36	0.00165890972766232	2.78017724619071
"201"	34	0.00156674807612552	2.80500082991574
"202"	188	0.00866319524445878	2.06232189769432
"202.2"	105	0.00483848670568177	2.31529044788806
"202.21"	34	0.00156674807612552	2.80500082991574
"202.22"	26	0.00119810146997834	2.92150639898718
"202.23"	25	0.00115202064420994	2.93853973828596
"202.24"	28	0.00129026312151514	2.88932171561578
"204"	128	0.00589834569835491	2.22926977731013
"204.1"	37	0.00170499055343072	2.768278022891
"204.11"	20	0.000921616515367955	3.03544975129401
"204.12"	19	0.000875535689599558	3.05772614600517
"204.2"	48	0.00221187963688309	2.65523850958241
"204.21"	33	0.00152066725035713	2.81796580708011
"204.22"	5	0.000230404128841989	3.63750974262198
"204.3"	4	0.000184323303073591	3.73441975563003
"204.4"	52	0.00239620293995668	2.6204764033232
"208"	3142	0.144785954564306	0.839273566254042
"209"	63	0.00290309202340906	2.53713919750441
"210"	311	0.0143311368139717	1.84371935793116
"211"	553	0.025482696649924	1.5937546156533
"212"	288	0.0132712778212986	1.87708725919877
"213"	199	0.00917008432791116	2.03762667054829
"214"	554	0.0255287774756924	1.59296998222957
"214.1"	332	0.0152988341551081	1.81534166325396
"215"	232	0.0106907515782683	1.9709917620671
"216"	2971	0.13690613335791	0.863577095154332
"216.1"	3	0.000138242477305193	3.85935849223833
"217"	643	0.0296299709690798	1.52826877403377
"217.1"	560	0.0258052624303028	1.5882917199518
"218"	600	0.0276484954610387	1.55832849657435
"218.1"	528	0.024330676005714	1.61384582442418
"218.2"	115	0.00529929496336574	2.27578190660438
"220"	150	0.00691212386525967	2.16038848790231
"221"	154	0.00709644716833326	2.14895902612153
"222"	62	0.00285701119764066	2.54408805745974
"223"	110	0.00506889083452375	2.29508706179977
"224"	191	0.00880143772176397	2.05544637971027
"224.1"	128	0.00589834569835491	2.22926977731013
"225"	471	0.0217040689369154	1.6634588398291
"225.1"	425	0.0195843509515691	1.70809081690768
"225.2"	51	0.00235012211418829	2.62890957086006
"226"	190	0.00875535689599558	2.05772614600517
"227"	359	0.0165430164508548	1.78138529837968
"227.1"	126	0.00580618404681812	2.23610920184043
"227.2"	102	0.00470024422837657	2.32787957519608
"227.3"	137	0.00631307313027049	2.19975917980159
"228"	676	0.0311506382194369	1.50653305101636
"228.1"	527	0.0242845951799456	1.61466913174545
"229"	441	0.0203216441638634	1.69204115749016
"229.1"	364	0.0167734205796968	1.77537836330894
"230"	25	0.00115202064420994	2.93853973828596
"240"	520	0.0239620293995668	1.6204764033232
"241"	1111	0.0511957974286899	1.29076568801713
"241.1"	696	0.0320722547348049	1.49387050734743
"241.2"	759	0.0349753467582139	1.45623797106252
"242"	852	0.0392608635546749	1.4060401521913
"242.1"	379	0.0174646329662228	1.75784053698992
"242.2"	139	0.00640523478180729	2.1934649467039
"242.3"	87	0.00400903184185061	2.39696049433938
"242.31"	30	0.00138242477305193	2.85935849223833
"244"	4535	0.208976544859684	0.679902455561882
"244.1"	1152	0.0530851112851942	1.2750272678708
"244.2"	396	0.0182480070042855	1.73878456103248
"244.3"	33	0.00152066725035713	2.81796580708011
"244.4"	4131	0.190359891249251	0.72042455198141
"244.5"	15	0.000691212386525967	3.16038848790231
"245"	374	0.0172342288373808	1.76360814475752
"245.1"	69	0.00317957697801945	2.49763065622074
"245.2"	257	0.0118427722224782	1.9265466236267
"245.21"	248	0.0114280447905626	1.94202806613178
"246"	677	0.0311967190452053	1.50589107827285
"246.2"	51	0.00235012211418829	2.62890957086006
"246.7"	230	0.0105985899267315	1.9747519109404
"249"	170	0.00783374038062762	2.10603082557972
"250"	5673	0.261416524584121	0.582666963393294
"250.1"	1935	0.0891663978618497	1.04979877760307
"250.11"	99	0.00456200175107138	2.34084455236045
"250.12"	266	0.0122574996543938	1.91159811032693
"250.13"	214	0.00986129671443712	2.00606597360881
"250.14"	406	0.0187088152619695	1.7279537133808
"250.15"	102	0.00470024422837657	2.32787957519608
"250.2"	5414	0.249481590710106	0.602961495523509
"250.21"	139	0.00640523478180729	2.1934649467039
"250.22"	1049	0.0483387862310493	1.31570425876444
"250.23"	574	0.0264503939910603	1.57756785456002
"250.24"	1267	0.05838440624856	1.23370313207455
"250.25"	382	0.0176028754435279	1.75441638404629
"250.3"	1563	0.0720243306760057	1.14252076893881
"250.4"	2593	0.119487581217455	0.922677230188645
"250.41"	525	0.0241924335284088	1.61632044355204
"250.42"	2161	0.0995806644855076	1.00182498007475
"250.5"	37	0.00170499055343072	2.768278022891
"250.6"	946	0.0435924611769043	1.3605886105562
"250.7"	577	0.0265886364683655	1.57530393380226
"251"	232	0.0106907515782683	1.9709917620671
"251.1"	510	0.0235012211418829	1.62890957086006
"251.8"	12	0.000552969909220773	3.25729850091037
"252"	468	0.0215658264596102	1.66623389388387
"252.1"	384	0.0176950370950647	1.75214852259047
"252.2"	120	0.00552969909220773	2.25729850091037
"253"	457	0.0210589373761578	1.67656354688815
"253.1"	122	0.00562186074374453	2.25011991628325
"253.11"	39	0.00179715220496751	2.7454151399315
"253.2"	117	0.00539145661490254	2.26829388521183
"253.3"	63	0.00290309202340906	2.53713919750441
"253.4"	191	0.00880143772176397	2.05544637971027
"253.5"	65	0.00299525367494586	2.52356639031514
"253.7"	118	0.00543753744067094	2.26459773965187
"254"	27	0.00124418229574674	2.90511598279901
"255"	852	0.0392608635546749	1.4060401521913
"255.1"	210	0.00967697341136353	2.01426045222408
"255.11"	106	0.00488456753145016	2.31117388169323
"255.12"	67	0.00308741532648265	2.51040494425717
"255.13"	29	0.00133634394728354	2.87408174905904
"255.2"	473	0.0217962305884521	1.66161860622018
"255.21"	343	0.0158057232385604	1.80118562691523
"255.22"	35	0.00161282890189392	2.79241170260772
"255.3"	35	0.00161282890189392	2.79241170260772
"256"	320	0.0147458642458873	1.83132976863809
"256.1"	17	0.000783374038062762	3.10603082557972
"256.4"	156	0.00718860881987005	2.14335514860353
"257"	501	0.0230864937099673	1.63664202109075
"257.1"	484	0.0223031196719045	1.65163438531358
"258"	47	0.00216579881111469	2.66438188902228
"258.1"	92	0.00423943597069259	2.37269191961244
"259"	440	0.020275563338095	1.69302707047181
"259.1"	175	0.00806414450946961	2.0934416982717
"259.2"	69	0.00317957697801945	2.49763065622074
"259.3"	28	0.00129026312151514	2.88932171561578
"259.4"	12	0.000552969909220773	3.25729850091037
"260"	2637	0.121515137551265	0.915369617164562
"260.1"	278	0.0128104695636146	1.89243495103992
"260.2"	844	0.0388922169485277	1.41013730033234
"260.21"	77	0.00354822358416663	2.44998902178551
"260.22"	182	0.00838671028984839	2.07640835897292
"260.3"	766	0.0352979125385927	1.45225097732539
"260.6"	813	0.0374637113497074	1.42638920136393
"260.7"	12	0.000552969909220773	3.25729850091037
"261"	3317	0.152850099073775	0.815734275438514
"261.1"	22	0.00101377816690475	2.99405706613579
"261.2"	864	0.0398138334638957	1.3999660044791
"261.3"	5	0.000230404128841989	3.63750974262198
"261.4"	2737	0.126123220128105	0.899204949547873
"261.41"	82	0.00377862771300862	2.42266589457428
"262"	21	0.000967697341136353	3.01426045222408
"263"	142	0.00654347725911248	2.18419140257494
"264"	239	0.0110133173586471	1.95808184600986
"264.1"	31	0.00142850559882033	2.84511805312372
"264.2"	106	0.00488456753145016	2.31117388169323
"264.3"	25	0.00115202064420994	2.93853973828596
"264.9"	71	0.00327173862955624	2.48522139823892
"269"	853	0.0393069443804433	1.40553071579047
"270"	713	0.0328556287728676	1.48339021710613
"270.1"	79	0.00364038523570342	2.43885265566755
"270.11"	20	0.000921616515367955	3.03544975129401
"270.12"	9	0.00041472743191558	3.38223723751867
"270.2"	87	0.00400903184185061	2.39696049433938
"270.21"	62	0.00285701119764066	2.54408805745974
"270.3"	564	0.0259895857333763	1.58520064297465
"270.31"	10	0.000460808257683978	3.336479746958
"270.32"	215	0.00990737754020552	2.00404128704239
"270.33"	40	0.00184323303073591	2.73441975563003
"270.34"	25	0.00115202064420994	2.93853973828596
"270.35"	17	0.000783374038062762	3.10603082557972
"270.38"	197	0.00907792267637436	2.0420135207964
"271"	85	0.00391687019031381	2.4070608212437
"271.3"	47	0.00216579881111469	2.66438188902228
"271.9"	39	0.00179715220496751	2.7454151399315
"272"	10149	0.467674300723469	0.330056494450353
"272.1"	10117	0.46619971429888	0.331427996964
"272.11"	5193	0.23929772821529	0.62106142436294
"272.12"	531	0.0244689184830192	1.61138522587653
